student_id,actual,predicted,error,abs_error,actual_grade,predicted_grade,grade_match
S0049,6.69,6.75,-0.06,0.06,C,C,True
S0050,7.43,7.08,0.35,0.35,B,B,True
S0051,6.81,6.9,-0.09,0.09,C,C,True
S0052,7.27,7.52,-0.25,0.25,B,B,True
S0053,8.16,8.04,0.12,0.12,B,B,True
S0054,6.98,6.8,0.18,0.18,C,C,True
S0055,8.15,8.12,0.03,0.03,B,B,True
S0056,7.18,8.19,-1.01,1.01,B,B,True
S0057,7.75,7.41,0.34,0.34,B,B,True
S0058,6.8,6.92,-0.12,0.12,C,C,True
S0059,8.26,7.95,0.31,0.31,B,B,True
S0060,7.39,7.39,0.0,0.0,B,B,True
S0061,8.2,8.71,-0.51,0.51,B,A,False
S0062,7.06,7.04,0.02,0.02,B,B,True
S0063,6.99,7.45,-0.46,0.46,C,B,False
S0064,7.81,7.87,-0.06,0.06,B,B,True
S0065,7.48,7.72,-0.24,0.24,B,B,True
S0066,7.36,7.02,0.34,0.34,B,B,True
S0067,8.77,7.92,0.85,0.85,A,B,False
S0068,5.66,6.44,-0.78,0.78,C,C,True
S0069,7.1,6.7,0.4,0.4,B,C,False
S0070,6.51,6.65,-0.14,0.14,C,C,True
S0071,7.24,7.46,-0.22,0.22,B,B,True
S0072,6.76,7.05,-0.29,0.29,C,B,False
S0073,5.17,5.87,-0.7,0.7,D,C,False
S0074,6.87,6.82,0.05,0.05,C,C,True
S0075,8.14,8.01,0.13,0.13,B,B,True
S0076,8.13,6.85,1.28,1.28,B,C,False
S0077,9.09,8.76,0.33,0.33,A,A,True
S0078,8.5,8.02,0.48,0.48,A,B,False
S0079,6.64,7.11,-0.47,0.47,C,B,False
S0080,7.08,6.97,0.11,0.11,B,C,False
S0081,9.17,8.66,0.51,0.51,A,A,True
S0082,7.34,7.23,0.11,0.11,B,B,True
S0083,8.19,6.68,1.51,1.51,B,C,False
S0084,8.96,8.42,0.54,0.54,A,B,False
S0085,6.54,6.6,-0.06,0.06,C,C,True
S0086,6.59,6.87,-0.28,0.28,C,C,True
S0087,6.45,6.81,-0.36,0.36,C,C,True
S0088,7.38,7.74,-0.36,0.36,B,B,True
S0089,6.8,6.84,-0.04,0.04,C,C,True
S0090,7.66,7.44,0.22,0.22,B,B,True
S0091,6.18,7.87,-1.69,1.69,C,B,False
S0092,6.1,6.32,-0.22,0.22,C,C,True
S0093,7.51,7.69,-0.18,0.18,B,B,True
S0094,7.21,7.44,-0.23,0.23,B,B,True
S0095,6.79,6.87,-0.08,0.08,C,C,True
S0096,7.37,7.65,-0.28,0.28,B,B,True
S0097,7.3,7.55,-0.25,0.25,B,B,True
S0098,6.08,6.66,-0.58,0.58,C,C,True
S0099,6.66,6.85,-0.19,0.19,C,C,True
S0100,7.75,7.55,0.2,0.2,B,B,True
S0101,8.15,7.73,0.42,0.42,B,B,True
S0102,6.47,7.69,-1.22,1.22,C,B,False
S0103,5.7,6.45,-0.75,0.75,C,C,True
S0104,8.49,8.22,0.27,0.27,B,B,True
S0105,5.0,6.33,-1.33,1.33,D,C,False
S0106,7.45,7.21,0.24,0.24,B,B,True
S0107,5.07,5.71,-0.64,0.64,D,C,False
S0108,8.33,7.8,0.53,0.53,B,B,True
S0109,8.47,7.83,0.64,0.64,B,B,True
S0110,7.97,8.1,-0.13,0.13,B,B,True
S0111,7.33,7.25,0.08,0.08,B,B,True
S0112,7.2,7.57,-0.37,0.37,B,B,True
S0113,8.1,8.03,0.07,0.07,B,B,True
S0114,8.48,8.2,0.28,0.28,B,B,True
S0115,8.03,7.13,0.9,0.9,B,B,True
S0116,7.03,7.4,-0.37,0.37,B,B,True
S0117,7.48,7.44,0.04,0.04,B,B,True
S0118,6.62,6.89,-0.27,0.27,C,C,True
S0119,6.05,6.37,-0.32,0.32,C,C,True
S0120,6.01,6.44,-0.43,0.43,C,C,True
S0121,6.04,6.74,-0.7,0.7,C,C,True
S0122,7.09,6.82,0.27,0.27,B,C,False
S0123,7.28,7.4,-0.12,0.12,B,B,True
S0124,7.38,7.45,-0.07,0.07,B,B,True
S0125,6.6,6.93,-0.33,0.33,C,C,True
S0126,6.84,6.74,0.1,0.1,C,C,True
S0127,6.91,7.33,-0.42,0.42,C,B,False
S0128,5.95,6.34,-0.39,0.39,C,C,True
S0129,7.58,7.46,0.12,0.12,B,B,True
S0130,7.54,7.66,-0.12,0.12,B,B,True
S0131,6.69,6.75,-0.06,0.06,C,C,True
S0132,6.63,6.78,-0.15,0.15,C,C,True
S0133,7.0,7.35,-0.35,0.35,B,B,True
S0134,7.97,7.62,0.35,0.35,B,B,True
S0135,7.09,7.08,0.01,0.01,B,B,True
S0136,6.74,6.76,-0.02,0.02,C,C,True
S0137,6.67,6.89,-0.22,0.22,C,C,True
S0138,8.27,7.65,0.62,0.62,B,B,True
S0139,7.5,7.68,-0.18,0.18,B,B,True
S0140,7.33,7.01,0.32,0.32,B,B,True
S0141,8.51,8.47,0.04,0.04,A,B,False
S0142,7.36,7.67,-0.31,0.31,B,B,True
S0143,8.12,7.91,0.21,0.21,B,B,True
S0144,6.78,6.82,-0.04,0.04,C,C,True
S0145,6.42,7.25,-0.83,0.83,C,B,False
S0146,7.37,7.17,0.2,0.2,B,B,True
S0147,5.18,5.66,-0.48,0.48,D,C,False
S0148,9.48,8.88,0.6,0.6,A,A,True
S0149,8.03,7.53,0.5,0.5,B,B,True
S0150,7.45,7.3,0.15,0.15,B,B,True
S0151,7.49,7.58,-0.09,0.09,B,B,True
S0152,8.07,8.18,-0.11,0.11,B,B,True
S0153,6.97,6.99,-0.02,0.02,C,C,True
S0154,7.71,7.51,0.2,0.2,B,B,True
S0155,7.09,7.77,-0.68,0.68,B,B,True
S0156,7.41,7.35,0.06,0.06,B,B,True
S0157,8.4,8.16,0.24,0.24,B,B,True
S0158,5.87,6.17,-0.3,0.3,C,C,True
S0159,6.16,6.55,-0.39,0.39,C,C,True
S0160,6.9,7.21,-0.31,0.31,C,B,False
S0161,7.69,7.21,0.48,0.48,B,B,True
S0162,6.89,7.34,-0.45,0.45,C,B,False
S0163,7.16,7.11,0.05,0.05,B,B,True
S0164,7.49,7.4,0.09,0.09,B,B,True
S0165,6.74,6.76,-0.02,0.02,C,C,True
S0166,8.63,8.06,0.57,0.57,A,B,False
S0167,7.78,7.97,-0.19,0.19,B,B,True
S0168,6.57,7.75,-1.18,1.18,C,B,False
S0169,6.25,7.68,-1.43,1.43,C,B,False
S0170,6.22,6.43,-0.21,0.21,C,C,True
S0171,6.15,6.19,-0.04,0.04,C,C,True
S0172,6.97,6.79,0.18,0.18,C,C,True
S0173,7.61,7.31,0.3,0.3,B,B,True
S0174,5.8,6.61,-0.81,0.81,C,C,True
S0175,7.57,7.73,-0.16,0.16,B,B,True
S0176,7.86,7.94,-0.08,0.08,B,B,True
S0177,6.41,6.54,-0.13,0.13,C,C,True
S0178,7.3,8.1,-0.8,0.8,B,B,True
S0179,8.52,8.29,0.23,0.23,A,B,False
S0180,7.99,7.67,0.32,0.32,B,B,True
S0181,8.89,8.41,0.48,0.48,A,B,False
S0182,8.51,6.88,1.63,1.63,A,C,False
S0183,7.3,6.68,0.62,0.62,B,C,False
S0184,8.68,8.35,0.33,0.33,A,B,False
S0185,7.07,7.4,-0.33,0.33,B,B,True
S0186,8.86,7.95,0.91,0.91,A,B,False
S0187,6.8,6.93,-0.13,0.13,C,C,True
S0188,6.6,6.8,-0.2,0.2,C,C,True
S0189,7.58,7.64,-0.06,0.06,B,B,True
S0190,7.59,7.71,-0.12,0.12,B,B,True
S0191,7.84,7.97,-0.13,0.13,B,B,True
S0192,6.54,6.71,-0.17,0.17,C,C,True
S0193,8.06,8.04,0.02,0.02,B,B,True
S0194,7.84,7.89,-0.05,0.05,B,B,True
S0195,7.43,7.25,0.18,0.18,B,B,True
S0196,9.51,8.81,0.7,0.7,A,A,True
S0197,7.75,7.96,-0.21,0.21,B,B,True
S0198,9.24,8.88,0.36,0.36,A,A,True
S0199,7.79,7.73,0.06,0.06,B,B,True
S0200,9.16,8.55,0.61,0.61,A,A,True
S0201,7.51,7.64,-0.13,0.13,B,B,True
S0202,8.55,7.89,0.66,0.66,A,B,False
S0203,6.81,7.34,-0.53,0.53,C,B,False
S0204,7.43,7.68,-0.25,0.25,B,B,True
S0205,7.27,6.99,0.28,0.28,B,C,False
S0206,9.2,8.01,1.19,1.19,A,B,False
S0207,5.73,6.53,-0.8,0.8,C,C,True
S0208,7.87,7.51,0.36,0.36,B,B,True
S0209,8.36,8.22,0.14,0.14,B,B,True
S0210,5.51,5.9,-0.39,0.39,C,C,True
S0211,6.84,6.94,-0.1,0.1,C,C,True
S0212,8.99,7.84,1.15,1.15,A,B,False
S0213,6.68,7.52,-0.84,0.84,C,B,False
S0214,6.68,6.77,-0.09,0.09,C,C,True
S0215,6.06,6.43,-0.37,0.37,C,C,True
S0216,6.08,6.31,-0.23,0.23,C,C,True
S0217,8.79,8.41,0.38,0.38,A,B,False
S0218,7.08,7.14,-0.06,0.06,B,B,True
S0219,9.09,8.5,0.59,0.59,A,A,True
S0220,8.09,7.68,0.41,0.41,B,B,True
S0221,7.16,6.89,0.27,0.27,B,C,False
S0222,6.52,6.69,-0.17,0.17,C,C,True
S0223,6.51,6.79,-0.28,0.28,C,C,True
S0224,6.87,7.59,-0.72,0.72,C,B,False
S0225,9.02,8.59,0.43,0.43,A,A,True
S0226,7.23,7.07,0.16,0.16,B,B,True
S0227,6.8,7.04,-0.24,0.24,C,B,False
S0228,6.42,6.92,-0.5,0.5,C,C,True
S0229,8.0,8.23,-0.23,0.23,B,B,True
S0230,6.3,6.39,-0.09,0.09,C,C,True
S0231,7.14,7.41,-0.27,0.27,B,B,True
S0232,7.28,7.01,0.27,0.27,B,B,True
S0233,5.8,6.69,-0.89,0.89,C,C,True
S0234,5.93,6.39,-0.46,0.46,C,C,True
S0235,7.27,6.9,0.37,0.37,B,C,False
S0236,7.3,7.49,-0.19,0.19,B,B,True
S0237,5.45,7.69,-2.24,2.24,D,B,False
S0238,6.13,6.92,-0.79,0.79,C,C,True
S0239,8.61,8.03,0.58,0.58,A,B,False
S0240,5.84,6.22,-0.38,0.38,C,C,True
S0241,8.78,8.51,0.27,0.27,A,A,True
S0242,8.09,7.97,0.12,0.12,B,B,True
S0243,6.5,6.94,-0.44,0.44,C,C,True
S0244,7.46,7.33,0.13,0.13,B,B,True
S0245,5.41,6.0,-0.59,0.59,D,C,False
S0246,7.3,7.67,-0.37,0.37,B,B,True
S0247,7.17,7.6,-0.43,0.43,B,B,True
S0248,6.01,6.94,-0.93,0.93,C,C,True
S0249,6.81,7.32,-0.51,0.51,C,B,False
S0250,7.28,7.02,0.26,0.26,B,B,True
S0251,8.238,8.06,0.18,0.18,B,B,True
S0252,9.667,9.1,0.57,0.57,A,A,True
S0253,8.0,7.89,0.11,0.11,B,B,True
S0254,8.857,8.39,0.47,0.47,A,B,False
S0255,7.714,7.79,-0.08,0.08,B,B,True
S0256,9.095,8.7,0.4,0.4,A,A,True
S0257,8.048,7.9,0.15,0.15,B,B,True
S0258,8.143,7.69,0.45,0.45,B,B,True
S0259,8.714,6.97,1.74,1.74,A,C,False
S0260,6.143,6.52,-0.38,0.38,C,C,True
